Date,Site,Account,Keyword,Market,Location,Device,Tags,Rank,Base_Rank,Url,Advertiser_Competition,Global_Monthly_Searches,Regional_Monthly_Searches,CPC
2020-09-07,about.bankofamerica.com/,bankofamerica,altamed foundation,US-en,,desktop,"enterprise, partnering locally",18,17,about.bankofamerica.com/en-us/partnering-locally/caring-underserved-east-la.html,0.0758929,40,40,1.37
2020-09-07,about.bankofamerica.com/,bankofamerica,altamed health care,US-en,,desktop,"enterprise, partnering locally",0,0,,0.166667,10,10,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,altamed health services,US-en,,desktop,"enterprise, partnering locally",74,70,about.bankofamerica.com/en-us/partnering-locally/caring-underserved-east-la.html,0.0893182,1600,1600,0.23
2020-09-07,about.bankofamerica.com/,bankofamerica,altamed health services corporation,US-en,,desktop,"enterprise, partnering locally",0,0,,0.09450549999999999,320,260,1.52
2020-09-07,about.bankofamerica.com/,bankofamerica,arizona business development,US-en,,desktop,"enterprise, partnering locally",100,100,about.bankofamerica.com/en-us/partnering-locally/arizona.html,0.047619,10,10,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,arizona economic development,US-en,,desktop,"enterprise, partnering locally",0,0,,0.107448,210,210,7.1
2020-09-07,about.bankofamerica.com/,bankofamerica,arizona economic growth,US-en,,desktop,"enterprise, partnering locally",0,0,,0.012987,20,20,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,arkansas business development,US-en,,desktop,"enterprise, partnering locally",0,0,,0.07142860000000001,10,10,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,arkansas economic development,US-en,,desktop,"enterprise, partnering locally",0,0,,0.00645682,110,110,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,arkansas economic growth,US-en,,desktop,"enterprise, partnering locally",0,0,,0.0,0,0,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,art conservation programs,US-en,,desktop,"enterprise, arts and culture",95,94,about.bankofamerica.com/en-us/what-guides-us/art-conservation-project.html,0.165957,480,390,4.26
2020-09-07,about.bankofamerica.com/,bankofamerica,art in the community,US-en,,desktop,"enterprise, arts and culture",0,0,,0.0426581,5400,1600,2.84
2020-09-07,about.bankofamerica.com/,bankofamerica,art partnerships,US-en,,desktop,"enterprise, arts and culture",44,44,about.bankofamerica.com/en-us/what-guides-us/arts-and-culture.html,0.0,590,70,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,art sponsorships,US-en,,desktop,"enterprise, arts and culture",0,0,,0.11756,480,140,1.52
2020-09-07,about.bankofamerica.com/,bankofamerica,arts and culture,US-en,,desktop,"enterprise, arts and culture",26,24,about.bankofamerica.com/en-us/what-guides-us/arts-and-culture.html,0.0390145,40500,4400,5.5
2020-09-07,about.bankofamerica.com/,bankofamerica,arts in the community,US-en,,desktop,"enterprise, arts and culture",0,0,,0.0426581,5400,1600,2.84
2020-09-07,about.bankofamerica.com/,bankofamerica,atlanta business development,US-en,,desktop,"enterprise, partnering locally",92,89,about.bankofamerica.com/en-us/partnering-locally/atlanta-ga.html,0.00180832,70,70,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,atlanta economic development,US-en,,desktop,"enterprise, partnering locally",0,0,,0.031968,140,140,1.93
2020-09-07,about.bankofamerica.com/,bankofamerica,atlanta economic growth,US-en,,desktop,"enterprise, partnering locally",0,0,,0.0,40,40,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,augusta national women,US-en,,desktop,"enterprise, partnering locally",31,29,about.bankofamerica.com/en-us/partnering-locally/augusta-national-womens-amateur.html,0.0122449,110,90,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,augusta national womens amateur championship,US-en,,desktop,"enterprise, partnering locally",19,18,about.bankofamerica.com/en-us/partnering-locally/augusta-national-womens-amateur.html,0.010204099999999999,40,30,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,baltimore economic development,US-en,,desktop,"enterprise, partnering locally",0,0,,0.003861,70,70,5.6
2020-09-07,about.bankofamerica.com/,bankofamerica,baltimore economic growth,US-en,,desktop,"enterprise, partnering locally",0,0,,0.021978,10,10,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america,US-en,,desktop,"enterprise, overview, mission critical",0,0,,0.09323569999999999,13600000,13600000,0.16
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america ad,US-en,,desktop,enterprise,4,3,about.bankofamerica.com/en-us/tomorrow-starts-today-with-americas-commencement.html,0.0142857,320,260,1.11
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america art,US-en,,desktop,"enterprise, arts and culture",1,1,about.bankofamerica.com/en-us/what-guides-us/arts-and-culture.html,0.012422399999999998,50,40,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america art collection,US-en,,desktop,"enterprise, arts and culture",1,1,about.bankofamerica.com/en-us/what-guides-us/art-in-our-communities.html,0.152642,70,50,5.45
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america art conservation project,US-en,,desktop,"enterprise, arts and culture",1,1,about.bankofamerica.com/en-us/what-guides-us/art-conservation-project.html,0.0150376,40,30,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america arts and culture,US-en,,desktop,"enterprise, arts and culture",1,1,about.bankofamerica.com/en-us/what-guides-us/arts-and-culture.html,0.0,20,20,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america asia,US-en,,desktop,"enterprise, partnering locally",1,1,about.bankofamerica.com/en-us/partnering-locally/asia-pacific.html,0.00840336,70,20,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america ceo,US-en,,desktop,"enterprise, who we are",5,2,about.bankofamerica.com/en-us/who-we-are/hear-from-our-ceo.html,0.0,5400,3600,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america ceo brian moynihan,US-en,,desktop,"enterprise, who we are",2,2,about.bankofamerica.com/en-us/who-we-are/hear-from-our-ceo.html,0.00691244,90,70,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america charitable foundation,US-en,,desktop,"enterprise, grants and sponsorships",1,1,about.bankofamerica.com/en-us/what-guides-us/find-grants-sponsorships.html,0.11224500000000001,1000,1000,4.1
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america chicago marathon,US-en,,desktop,"enterprise, partnering locally",0,0,,0.0316145,1900,1600,5.22
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america chicago marathon charity program,US-en,,desktop,"enterprise, partnering locally",0,0,,0.0,10,10,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america clients,US-en,,desktop,"enterprise, who we are",4,3,about.bankofamerica.com/en-us/what-guides-us/client-focus.html,0.0465838,50,30,1.77
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america co,US-en,,desktop,"enterprise, our company",0,0,,0.10628599999999999,320,320,0.96
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america code of ethics,US-en,,desktop,"enterprise, what guides us",0,0,,0.0,50,50,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america commercial,US-en,,desktop,enterprise,9,8,about.bankofamerica.com/en-us/tomorrow-starts-today-with-americas-commencement.html,0.0178239,1000,1000,5.82
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america commercial 2019,US-en,,desktop,enterprise,0,0,,0.0,260,260,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america commitment,US-en,,desktop,"enterprise, who we are",2,0,about.bankofamerica.com/en-us/global-impact/commitment-to-support-youth-success.html,0.0,10,10,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america community giving,US-en,,desktop,"enterprise, partnering locally",1,1,about.bankofamerica.com/en-us/what-guides-us/find-grants-sponsorships.html,0.0,30,30,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america community volunteers,US-en,,desktop,"enterprise, what guides us",1,1,about.bankofamerica.com/en-us/what-guides-us/volunteerism.html,0.0,10,10,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america company,US-en,,desktop,"enterprise, our company, mission critical",2,2,about.bankofamerica.com/en-us/who-we-are.html,0.0905612,210,110,1.41
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america company culture,US-en,,desktop,"enterprise, who we are",2,2,about.bankofamerica.com/en-us/who-we-are/our-culture.html,0.026785700000000003,40,20,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america company profile,US-en,,desktop,"enterprise, our company",3,3,about.bankofamerica.com/en-us/who-we-are/our-company.html,0.0,40,20,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america company values,US-en,,desktop,"enterprise, who we are",1,1,about.bankofamerica.com/en-us/who-we-are/values-and-principles.html,0.035714300000000004,20,10,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america consumer banking,US-en,,desktop,"enterprise, who we are",0,0,,0.035714300000000004,40,30,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america core values,US-en,,desktop,"enterprise, who we are",2,2,about.bankofamerica.com/en-us/who-we-are/values-and-principles.html,0.037714300000000006,260,170,3.25
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america corporate governance,US-en,,desktop,"enterprise, what guides us",2,2,about.bankofamerica.com/en-us/what-guides-us/governance.html,0.04,30,20,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america corporate social responsibility,US-en,,desktop,"enterprise, what guides us",2,2,about.bankofamerica.com/assets/pdf/Bank-of-America-2012-Corporate-Social-Responsibility-Highlights.pdf,0.0787172,70,70,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america corporate social responsibility report,US-en,,desktop,"enterprise, what guides us, mission critical",1,1,about.bankofamerica.com/assets/pdf/Bank-of-America-2012-Corporate-Social-Responsibility-Report.pdf,0.0,10,10,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america corporation,US-en,,desktop,"enterprise, our company",2,2,about.bankofamerica.com/en-us/who-we-are/our-company.html,0.034524400000000004,4400,3600,1.95
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america culture,US-en,,desktop,"enterprise, who we are",1,1,"about.bankofamerica.com/en-us/what-guides-us.html#:~:text=Our%20purpose%20and%20values%20form,deliver%20value%20to%20our%20shareholders.",0.00195695,210,110,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america customers,US-en,,desktop,"enterprise, who we are",14,13,about.bankofamerica.com/en-us/what-guides-us/client-focus.html,0.000945086,5400,4400,1.85
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america diversity,US-en,,desktop,"enterprise, what guides us",1,1,about.bankofamerica.com/en-us/what-guides-us/diversity-and-inclusion.html,0.0100604,140,110,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america employing military personnel,US-en,,desktop,"enterprise, partnering locally",3,3,about.bankofamerica.com/en-us/partnering-locally/service-members-and-veterans.html,0.0,0,0,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america environmental sustainability,US-en,,desktop,"enterprise, what guides us",1,1,about.bankofamerica.com/en-us/what-guides-us/environmental-sustainability.html,0.0408163,10,10,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america executive team,US-en,,desktop,"enterprise, who we are",0,0,,0.0,70,70,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america fact sheets,US-en,,desktop,"enterprise, what guides us",1,1,about.bankofamerica.com/en-us/who-we-are/our-company.html,0.0,10,10,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america facts,US-en,,desktop,"enterprise, our company",3,2,about.bankofamerica.com/en-us/who-we-are/our-company.html,0.0469388,210,170,2.08
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america free museum day,US-en,,desktop,"enterprise, arts and culture",2,2,about.bankofamerica.com/en-us/what-guides-us/arts-and-culture.html,0.00761905,390,390,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america future,US-en,,desktop,"enterprise, our company",0,0,,0.14285699999999998,40,30,4.2
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america future outlook,US-en,,desktop,"enterprise, our company",18,17,about.bankofamerica.com/en-us/who-we-are/our-strategy.html,0.0285714,10,10,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america global,US-en,,desktop,"enterprise, who we are",2,2,about.bankofamerica.com/en-us/who-we-are/where-we-are.html,0.00258176,260,210,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america global markets,US-en,,desktop,"enterprise, who we are",3,3,about.bankofamerica.com/en-us/who-we-are/where-we-are.html,0.00784929,210,70,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america global programs,US-en,,desktop,"enterprise, partnering locally",2,2,about.bankofamerica.com/en-us/partnering-locally/global-programs.html,0.0,0,0,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america governance,US-en,,desktop,"enterprise, what guides us",2,2,about.bankofamerica.com/en-us/what-guides-us/governance.html,0.0,10,10,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america green bond,US-en,,desktop,"enterprise, what guides us",3,3,about.bankofamerica.com/en-us/what-guides-us/environmental-sustainability.html,0.0425532,90,50,5.27
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america growth,US-en,,desktop,"enterprise, who we are",2,2,about.bankofamerica.com/en-us/who-we-are/our-strategy.html,0.00793651,30,20,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america heritage,US-en,,desktop,"enterprise, our company",1,1,about.bankofamerica.com/en-us/who-we-are/our-history-and-heritage.html,0.010989,10,10,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america history,US-en,,desktop,"enterprise, our company, mission critical",2,2,about.bankofamerica.com/en-us/who-we-are/our-history-and-heritage.html,0.00100692,1600,1300,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america in africa,US-en,,desktop,"enterprise, partnering locally",1,1,about.bankofamerica.com/en-us/partnering-locally/europe-middle-east-africa.html,0.0765306,30,20,5.04
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america in europe,US-en,,desktop,"enterprise, partnering locally",3,2,about.bankofamerica.com/en-us/partnering-locally/europe-middle-east-africa.html,0.0108959,390,170,4.14
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america information,US-en,,desktop,"enterprise, our company",2,2,about.bankofamerica.com/en-us/who-we-are.html,0.0266667,260,210,1.86
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america international,US-en,,desktop,"enterprise, who we are",2,2,about.bankofamerica.com/en-us/who-we-are/where-we-are.html,0.019725,720,390,4.37
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america international locations,US-en,,desktop,"enterprise, who we are",1,1,about.bankofamerica.com/en-us/who-we-are/where-we-are.html,0.00944171,480,320,25.41
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america latin america,US-en,,desktop,"enterprise, partnering locally",1,1,about.bankofamerica.com/en-us/partnering-locally/latin-america.html,0.025974,30,20,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america leadership,US-en,,desktop,"enterprise, who we are",2,2,about.bankofamerica.com/en-us/what-guides-us/student-leaders.html,0.00197316,480,390,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america leadership development,US-en,,desktop,"enterprise, what guides us",1,1,about.bankofamerica.com/en-us/what-guides-us/student-leaders.html,0.0519481,10,10,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america leadership development program,US-en,,desktop,"enterprise, what guides us",1,1,about.bankofamerica.com/en-us/what-guides-us/student-leaders.html,0.16326500000000002,30,30,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america lines of business,US-en,,desktop,"enterprise, who we are",1,1,about.bankofamerica.com/en-us/who-we-are/our-businesses.html,0.0955961,110,90,4.5
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america management team,US-en,,desktop,"enterprise, who we are",0,0,,0.0,70,40,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america matching gift program,US-en,,desktop,"enterprise, grants and sponsorships",1,1,about.bankofamerica.com/en-us/global-impact/matching-gifts-features-and-eligibility.html,0.0506912,30,30,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america mergers and acquisitions,US-en,,desktop,"enterprise, our company",7,6,about.bankofamerica.com/en-us/who-we-are/our-history-and-heritage.html,0.0542857,50,40,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america middle east,US-en,,desktop,"enterprise, partnering locally",1,1,about.bankofamerica.com/en-us/partnering-locally/europe-middle-east-africa.html,0.015872999999999998,20,10,2.23
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america mission statement,US-en,,desktop,"enterprise, who we are",3,0,about.bankofamerica.com/en-us/who-we-are.html,0.00148038,590,590,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america museums,US-en,,desktop,"enterprise, arts and culture",1,1,about.bankofamerica.com/en-us/what-guides-us/arts-and-culture.html,0.00702576,2900,2900,2.71
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america neighborhood builder,US-en,,desktop,"enterprise, partnering locally",1,1,about.bankofamerica.com/en-us/what-guides-us/neighborhood-builders.html,0.0,10,10,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america neighborhood builders,US-en,,desktop,"enterprise, what guides us",1,1,about.bankofamerica.com/en-us/what-guides-us/neighborhood-builders.html,0.0052521,210,210,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america neighborhood preservation,US-en,,desktop,"enterprise, partnering locally",1,1,"about.bankofamerica.com/en-us/partnering-locally/neighborhood-preservation.html#:~:text=Neighborhood%20preservation,-Revitalizing%20neighborhoods&text=We're%20proud%20to%20support,neighborhood%20stabilization%20across%20the%20country.",0.0,0,0,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america operating principles,US-en,,desktop,"enterprise, our company",1,1,about.bankofamerica.com/en-us/who-we-are/values-and-principles.html,0.0,10,10,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america operations,US-en,,desktop,"enterprise, what guides us",0,0,,0.0526316,70,40,1.99
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america outlook,US-en,,desktop,"enterprise, our company",0,0,,0.0384615,90,70,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america personal banking,US-en,,desktop,"enterprise, who we are",0,0,,0.128639,260,260,5.28
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america philanthropy,US-en,,desktop,"enterprise, overview",2,2,about.bankofamerica.com/assets/pdf/philanthropy-at-bank-of-america.PDF,0.115148,260,210,3.89
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america podcasts,US-en,,desktop,"enterprise, what guides us",1,1,about.bankofamerica.com/en-us/what-guides-us/bank-of-america-podcasts.html,0.0,0,0,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america products,US-en,,desktop,"enterprise, who we are",0,0,,0.0336134,260,210,2.74
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america profile,US-en,,desktop,"enterprise, our company",3,3,about.bankofamerica.com/en-us/who-we-are/our-company.html,0.00460829,50,40,2.27
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america recruiting,US-en,,desktop,"enterprise, what guides us",5,5,about.bankofamerica.com/en-us/what-guides-us/attracting-and-developing-talent.html,0.0811429,390,140,3.51
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america renewable energy,US-en,,desktop,"enterprise, what guides us",1,1,about.bankofamerica.com/en-us/what-guides-us/environmental-sustainability.html,0.015872999999999998,20,20,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america reports,US-en,,desktop,"enterprise, what guides us",0,0,,0.0911654,260,90,2.01
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america risk,US-en,,desktop,"enterprise, what guides us",1,1,about.bankofamerica.com/en-us/what-guides-us/risk-management.html,0.0437318,50,40,2.42
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america services,US-en,,desktop,"enterprise, who we are",10,9,about.bankofamerica.com/en-us/who-we-are/our-businesses.html,0.0221884,1000,880,6.94
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america services offered,US-en,,desktop,"enterprise, what guides us",5,4,about.bankofamerica.com/en-us/who-we-are/our-businesses.html,0.0166113,90,90,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america small business owner report,US-en,,desktop,"enterprise, what guides us",2,2,about.bankofamerica.com/assets/pdf/Spring_2019_SBOR.pdf,0.0,20,20,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america small business support,US-en,,desktop,"enterprise, partnering locally",2,2,about.bankofamerica.com/en-us/partnering-locally/small-business-support.html,0.013227500000000001,40,40,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america sponsorship,US-en,,desktop,"enterprise, grants and sponsorships",1,1,about.bankofamerica.com/en-us/what-guides-us/find-grants-sponsorships.html,0.00344234,390,320,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america story,US-en,,desktop,"enterprise, who we are",2,0,about.bankofamerica.com/en-us/who-we-are/our-history-and-heritage.html,0.0252101,40,20,1.87
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america strategic goals,US-en,,desktop,"enterprise, arts and culture",1,1,about.bankofamerica.com/en-us/who-we-are/our-strategy.html,0.0,10,10,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america strategy,US-en,,desktop,"enterprise, who we are",2,2,about.bankofamerica.com/en-us/who-we-are/our-strategy.html,0.0210084,90,50,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america student leaders,US-en,,desktop,"enterprise, student leaders",1,1,about.bankofamerica.com/en-us/what-guides-us/student-leaders.html,0.00474941,1900,1900,9.28
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america student leaders program,US-en,,desktop,"enterprise, student leaders",1,1,about.bankofamerica.com/en-us/what-guides-us/student-leaders.html,0.11881900000000001,480,480,7.85
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america subsidiaries,US-en,,desktop,"enterprise, who we are",4,3,about.bankofamerica.com/en-us/who-we-are/our-businesses.html,0.0329218,1000,720,1.84
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america supplier relations,US-en,,desktop,"enterprise, what guides us",2,2,about.bankofamerica.com/en-us/what-guides-us/vendor-management.html,0.05952380000000001,20,20,1.97
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america timeline,US-en,,desktop,"enterprise, our company",1,1,about.bankofamerica.com/en-us/who-we-are/our-history-and-heritage.html,0.00793651,20,20,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america troop thanks,US-en,,desktop,"enterprise, partnering locally",0,0,,0.0,10,10,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america updates,US-en,,desktop,"enterprise, what guides us",1,1,about.bankofamerica.com/promo/assistance/latest-updates-from-bank-of-america-coronavirus,0.039916,90,90,0.95
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america values,US-en,,desktop,"enterprise, who we are",1,1,about.bankofamerica.com/en-us/who-we-are/values-and-principles.html,0.030541900000000004,590,320,2.11
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america vision,US-en,,desktop,"enterprise, our company",2,2,about.bankofamerica.com/en-us/who-we-are/our-company.html,0.057142899999999996,70,30,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america volunteer grants,US-en,,desktop,"enterprise, grants and sponsorships",1,1,about.bankofamerica.com/en-us/global-impact/volunteer-grants-features-and-eligibility.html,0.0,10,10,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america volunteer program,US-en,,desktop,"enterprise, what guides us",1,0,about.bankofamerica.com/en-us/what-guides-us/volunteerism.html,0.0,10,10,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america volunteerism,US-en,,desktop,"enterprise, what guides us",1,1,about.bankofamerica.com/en-us/what-guides-us/volunteerism.html,0.057142899999999996,110,90,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america who we are,US-en,,desktop,"enterprise, who we are",1,1,about.bankofamerica.com/en-us/who-we-are.html,0.0,10,10,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america workforce development,US-en,,desktop,"enterprise, partnering locally",2,2,about.bankofamerica.com/en-us/partnering-locally/workforce-development-and-education.html,0.0121581,30,30,9.89
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america worldwide locations,US-en,,desktop,"enterprise, who we are",1,1,about.bankofamerica.com/en-us/who-we-are/where-we-are.html,0.0510204,50,40,2.23
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of america's culture,US-en,,desktop,"enterprise, what guides us",1,1,"about.bankofamerica.com/en-us/what-guides-us.html#:~:text=Our%20purpose%20and%20values%20form,deliver%20value%20to%20our%20shareholders.",0.00195695,210,110,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of american discount museums,US-en,,desktop,"enterprise, arts and culture",1,1,about.bankofamerica.com/en-us/what-guides-us/arts-and-culture.html,0.0,0,0,0.0
2020-09-07,about.bankofamerica.com/,bankofamerica,bank of american foundation,US-en,,desktop,"enterprise, grants and sponsorships",1,0,about.bankofamerica.com/en-us/what-guides-us/find-grants-sponsorships.html,0.006,1600,1600,3.66
2020-09-07,about.bankofamerica.com/,bankofamerica,banking recruiting,US-en,,desktop,"enterprise, what guides us",30,30,about.bankofamerica.com/en-us/what-guides-us/attracting-and-developing-talent.html,0.331084,9900,390,6.75
2020-09-07,about.bankofamerica.com/,bankofamerica,baseball is back,US-en,,desktop,"enterprise, partnering locally",0,0,,0.00909771,1900,1900,3.98
